Size,Ttx1,Ttx2,Tkrnl,Ttx3,BWtx1,BWtx2,BWkrnl,BWtx3
16,0.000016,0.000002,0.000008,0.000009,6.400000,51.200000,102.400000,11.377778
32,0.000016,0.000003,0.000008,0.000009,25.600000,136.533333,819.200000,45.511111
48,0.000019,0.000003,0.000008,0.000011,48.505263,307.200000,2764.800000,83.781818
64,0.000017,0.000004,0.000009,0.000011,96.376471,409.600000,5825.422222,148.945455
80,0.000020,0.000005,0.000009,0.000013,128.000000,512.000000,11377.777778,196.923077
96,0.000020,0.000007,0.000010,0.000014,184.320000,526.628571,17694.720000,263.314286
112,0.000021,0.000009,0.000014,0.000016,238.933333,557.511111,20070.400000,313.600000
128,0.000023,0.000011,0.000016,0.000017,284.939130,595.781818,26214.400000,385.505882
144,0.000023,0.000012,0.000018,0.000019,360.626087,691.200000,33177.600000,436.547368
160,0.000025,0.000015,0.000023,0.000021,409.600000,682.666667,35617.391304,487.619048
176,0.000026,0.000017,0.000025,0.000024,476.553846,728.847059,43614.208000,516.266667
192,0.000031,0.000018,0.000034,0.000027,475.664516,819.200000,41634.635294,546.133333
208,0.000029,0.000022,0.000036,0.000030,596.744828,786.618182,49993.955556,576.853333
224,0.000029,0.000025,0.000046,0.000034,692.082759,802.816000,48867.060870,590.305882
240,0.000034,0.000029,0.000049,0.000045,677.647059,794.482759,56424.489796,512.000000
256,0.000037,0.000033,0.000062,0.000047,708.497297,794.375758,54120.051613,557.753191
